title,company,location,date,job_link,description
Data Analyst,Università Campus Bio-Medico di Roma,"Rome, Latium, Italy",2026-02-13,https://it.linkedin.com/jobs/view/data-analyst-at-universit%C3%A0-campus-bio-medico-di-roma-4364126185?position=21&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=a%2BGrcZCOFUlHAqHHOZXJjA%3D%3D,Description not available
Data Analyst,BizAway,"Milan, Lombardy, Italy",2026-02-12,https://it.linkedin.com/jobs/view/data-analyst-at-bizaway-4362500181?position=22&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=A4Km3hI5R0tuoiA5eqomwQ%3D%3D,Description not available
Data Analyst (Rif. 2025-347),aizoOn Technology Consulting,"Turin, Piedmont, Italy",2026-01-15,https://it.linkedin.com/jobs/view/data-analyst-rif-2025-347-at-aizoon-technology-consulting-4314972223?position=23&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=U6JIj8xshXlvGmzRi4yeqg%3D%3D,Description not available
Junior Data Analyst,Risorse Professional,"Milan, Lombardy, Italy",2026-02-11,https://it.linkedin.com/jobs/view/junior-data-analyst-at-risorse-professional-4363193257?position=24&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=KaxI5BPFwBWEO2%2BizwHYDw%3D%3D,Description not available
Junior ESG Analyst,Iper La grande i,"Milan, Lombardy, Italy",2026-02-08,https://it.linkedin.com/jobs/view/junior-esg-analyst-at-iper-la-grande-i-4339997656?position=25&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=aXc2eDjpn6dm3rFUlTUItQ%3D%3D,Description not available
Business Data Analyst,MSX International,"Rome, Latium, Italy",2026-01-26,https://it.linkedin.com/jobs/view/business-data-analyst-at-msx-international-4240143422?position=26&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=AfA8LlYsbYJ8gXYHXkE3Tw%3D%3D,Description not available
Data Analyst jr (Multinazionale di Produzione),Adecco,"Trezzo sull'Adda, Lombardy, Italy",2026-02-13,https://it.linkedin.com/jobs/view/data-analyst-jr-multinazionale-di-produzione-at-adecco-4364416378?position=27&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=H4QH7OU0EBZWCvFuGtAINg%3D%3D,Description not available
Intern - Data Analyst,Lemon Tree Advisory,"Milan, Lombardy, Italy",2026-02-03,https://it.linkedin.com/jobs/view/intern-data-analyst-at-lemon-tree-advisory-4368721179?position=28&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=EAI2Jdw4eZlqe8Ccswisug%3D%3D,Description not available
Digital Data Analyst,Haworth Lifestyle,Greater Milan Metropolitan Area,2026-01-21,https://it.linkedin.com/jobs/view/digital-data-analyst-at-haworth-lifestyle-4365086708?position=29&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=%2BMs1eu%2FWpI54dMPKjrWnXA%3D%3D,Description not available
Analista dati,BUGNION SpA,"Milan, Lombardy, Italy",2026-01-20,https://it.linkedin.com/jobs/view/analista-dati-at-bugnion-spa-4353922975?position=30&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=%2B7D7ZbWMNfjPpou4yY%2BWkA%3D%3D,Description not available
Data Analyst,CGI,"Catania, Sicily, Italy",2026-02-14,https://it.linkedin.com/jobs/view/data-analyst-at-cgi-4349382268?position=31&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=LasccQbOGp7o5gQ4B5bvuw%3D%3D,Description not available
CRM Data Analyst,TOD'S Group,"Milan, Lombardy, Italy",2026-01-20,https://it.linkedin.com/jobs/view/crm-data-analyst-at-tod-s-group-4360937581?position=32&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=9kWZuw7mA03f2LtHcRRMwg%3D%3D,Description not available
Business Data Analyst,MSX International,"Rome, Latium, Italy",2026-02-01,https://it.linkedin.com/jobs/view/business-data-analyst-at-msx-international-4334770058?position=33&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=8ot1wPVbCfJnwl4j8eUFkg%3D%3D,Description not available
Analista dati,MatchGuru,"Rome, Latium, Italy",2026-01-26,https://it.linkedin.com/jobs/view/analista-dati-at-matchguru-4366113257?position=34&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=7fhun0zkgXjDFnHAGTdeuw%3D%3D,Description not available
Data Analyst,Gruppo Teddy,"Rimini, Emilia-Romagna, Italy",2026-02-03,https://it.linkedin.com/jobs/view/data-analyst-at-gruppo-teddy-4330732514?position=35&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=Q86iJ7WkXPTCv%2FHHOB5I8Q%3D%3D,Description not available
